CLASS,VALUE
F         ,45799.8
F         ,46173.6
F         ,60078.6
F         ,55129.92
F         ,58057.08
F         ,58480.56
F         ,50379.84
F         ,45799.8
F         ,71541.6
F         ,69999.96
F         ,45799.8
F         ,55129.92
F         ,57102.36
F         ,41976
F         ,33518.04
F         ,52044.96
F         ,45799.8
F         ,29331.48
M           ,55134
F         ,50379.84
F         ,56375.76
F         ,45799.8
F         ,26081.76
F         ,61460.04
F         ,68299.2
F         ,44815.68
F         ,27253.56
F         ,48098.16
F         ,62486.88
F         ,55129.92
F         ,60046.68
F         ,59507.64
F         ,63103.92
M           ,35490.36
F         ,50969.28
F         ,50379.84
F         ,55597.32
F         ,34431.96
F         ,62607.48
F         ,52908
F         ,58989
F         ,60642.96
F         ,45799.8
M           ,57249.48
F         ,27233.76
F         ,62049.72
F         ,38918.52
F         ,58056.72
F         ,69999.96
F         ,50379.84
F         ,60642.96
F         ,45799.8
F         ,26962.32
F         ,37900.32
F         ,24375.48
F         ,48098.16
F         ,69999.96
F         ,49923.36
F         ,57666.6
F         ,60642.96
M           ,62486.88
F         ,45799.8
F         ,60642.96
F         ,62895.84
M           ,45799.8
F         ,26081.76
F         ,45799.8
F         ,57884.52
F         ,25532.76
F         ,27881.28
F         ,57294.36
F         ,51168
F         ,34917.96
M           ,65000.04
F         ,72469.08
F         ,23781
F         ,48277.92
F         ,24375.48
F         ,45799.8
F         ,28200.12
F         ,24375.48
F         ,75069.84
F         ,56375.76
F         ,69999.96
F         ,50379.84
F         ,55417.8
F         ,69546.12
F         ,48526.2
F         ,55296.24
F         ,55034.04
M           ,55129.92
F         ,45799.8
F         ,76356
F         ,31414.8
F         ,54417.72
F         ,57249.48
M           ,57249.48
F         ,54836.76
F         ,50379.84
F         ,57086.64
F         ,51157.92
F         ,56375.76
M           ,52044.96
F         ,60642.96
F         ,45799.8
F         ,66118.8
F         ,62249.64
F         ,54433.32
M           ,100010.4
F         ,39520.92
F         ,37821.6
F         ,55129.92
F         ,25532.76
F         ,62121
F         ,60279.6
F         ,62049.72
F         ,24380.28
F         ,68004
M           ,45799.8
F         ,25594.2
F         ,50341.68
F         ,45799.8
F         ,45799.8
F         ,56559.6
F         ,58989.84
F         ,60577.32
F         ,27268.92
F         ,55417.8
F         ,55661.04
F         ,54915.6
F         ,59297.04
F         ,66060.24
M           ,47907.24
F         ,55129.92
F         ,50379.84
F         ,55129.92
F         ,61718.16
M           ,75015.96
F         ,68700.84
F         ,70785.12
F         ,50379.84
F         ,63677.04
F         ,36975.96
M           ,45799.8
F         ,63672.96
F         ,61246.68
F         ,43403.16
M           ,61033.32
F         ,50379.84
M           ,57705.36
M           ,57348
F         ,48098.16
F         ,66861
F         ,51015.36
F         ,25532.76
F         ,59501.28
F         ,60349.8
M           ,50379.84
F         ,55671.36
F         ,45799.8
F         ,54942.6
F         ,55129.92
F         ,55129.92
F         ,55129.92
M           ,58398.96
F         ,50379.84
F         ,50379.84
M           ,41976
F         ,31739.4
M           ,75000
F         ,26809.32
M           ,55263.48
F         ,31891.44
F         ,45799.8
M           ,48098.16
F         ,55417.8
F         ,55417.8
F         ,49839.48
M           ,59494.2
M           ,48098.16
F         ,49923.12
M           ,25532.76
F         ,45799.8
F         ,58398.96
F         ,47402.52
F         ,45799.8
F         ,54189.48
M           ,84367.2
F         ,50379.84
F         ,26467.32
F         ,61703.28
F         ,65719.32
F         ,36729.72
F         ,56987.4
F         ,54441.84
M           ,47415.72
F         ,67394.88
F         ,45799.8
M           ,57249.48
F         ,55200
F         ,55129.92
F         ,27268.92
F         ,52897.68
F         ,64502.88
F         ,57249.48
F         ,45799.8
F         ,49932.72
F         ,54097.68
M           ,45799.8
F         ,57325.56
F         ,57816.24
F         ,49557.48
F         ,69328.92
F         ,48098.16
F         ,58453.2
F         ,57189
F         ,30150.72
F         ,51613.92
M           ,54097.68
F         ,26426.4
M           ,62486.88
F         ,48098.16
M           ,39490.32
F         ,61757.64
F         ,54996
F         ,27462.36
F         ,56686.68
F         ,45799.8
M           ,52044.96
F         ,45799.8
F         ,26809.2
F         ,62260.44
F         ,24375.48
F         ,69999.96
F         ,49052.64
F         ,55077.24
M           ,57249.48
F         ,45799.8
F         ,56987.4
F         ,41714.76
F         ,72116.88
M           ,51781.8
F         ,55417.8
F         ,29151
F         ,45799.8
F         ,48098.16
F         ,55129.92
F         ,45799.8
F         ,55678.8
F         ,51470.28
F         ,29799.48
M           ,51613.92
F         ,69999.96
F         ,39520.92
F         ,65843.64
F         ,58187.4
F         ,62486.88
M           ,56987.4
F         ,45799.8
F         ,60670.56
F         ,26809.2
F         ,24375.48
F         ,64260.6
F         ,58943.4
F         ,31857.24
F         ,64951.56
M           ,45799.8
F         ,63615.48
M           ,55417.8
F         ,55417.8
F         ,69414.96
M           ,58900.92
F         ,45799.8
M           ,55417.8
F         ,55175.64
F         ,50379.84
F         ,49488.72
F         ,25532.76
F         ,58187.4
F         ,50379.84
F         ,40897.8
F         ,55129.92
F         ,53715.6
F         ,55129.92
M           ,55730.64
F         ,58398.96
F         ,58989.12
F         ,55129.92
M           ,57249.48
M           ,62486.88
M           ,60642.96
M           ,55129.92
F         ,35361.12
F         ,68562.36
F         ,61383.84
F         ,26426.28
F         ,56987.4
F         ,55417.8
F         ,56987.4
F         ,55129.92
F         ,25532.64
M           ,75600
F         ,49975.32
M           ,62350.92
F         ,145994.04
F         ,50379.84
F         ,55129.92
F         ,45799.8
F         ,45799.8
M           ,67072.44
F         ,55129.92
F         ,50379.84
F         ,58398.96
F         ,49179.72
M           ,61946.4
M           ,32634.24
F         ,47439.48
F         ,53764.8
F         ,50379.84
F         ,69022.32
F         ,50379.84
F         ,45799.8
F         ,21470.16
F         ,55417.8
F         ,45799.8
F         ,57249.48
F         ,62350.92
F         ,57475.68
F         ,54513.36
F         ,68959.92
F         ,55129.92
F         ,57684.84
F         ,56369.88
F         ,52143.12
F         ,29439
M           ,29052.72
M           ,41976
F         ,58398.96
F         ,50379.84
F         ,27855.12
F         ,45799.8
F         ,77724
M           ,50379.84
F         ,60642.96
F         ,50379.84
M           ,50379.84
F         ,75000
F         ,55417.8
F         ,45799.8
F         ,45799.8
F         ,48098.16
F         ,60642.96
F         ,60754.68
F         ,84321.6
F         ,49179.72
M           ,57249.48
F         ,45799.8
F         ,54346.8
F         ,55183.92
F         ,50443.92
F         ,32199.48
M           ,115440.84
F         ,25532.76
F         ,58715.76
F         ,55417.8
F         ,53945.04
F         ,56987.4
F         ,49923.36
F         ,35488.32
F         ,55129.92
F         ,51865.56
F         ,45799.8
F         ,45799.8
F         ,58398.96
F         ,47440.2
F         ,45792
F         ,28685.76
F         ,50379.84
F         ,61460.04
F         ,55129.92
F         ,57884.4
F         ,45799.8
F         ,58187.4
F         ,54097.68
F         ,48488.64
F         ,53715.72
F         ,27334.56
F         ,56426.88
F         ,45799.8
F         ,55129.92
F         ,47626.2
F         ,62928.24
F         ,45799.8
F         ,51970.92
M           ,50379.84
F         ,69999.96
F         ,41714.76
M           ,55678.68
F         ,52897.68
F         ,48098.16
F         ,58398.96
M           ,74899.92
F         ,48098.16
F         ,52897.8
F         ,54097.68
F         ,24375.48
F         ,45799.8
F         ,48098.16
M           ,56987.4
F         ,33136.08
F         ,45799.8
M           ,78264.96
F         ,59507.64
M           ,45799.8
F         ,48098.16
F         ,60976.56
M           ,62260.44
M           ,55417.8
M           ,54097.8
F         ,60991.32
F         ,24375.48
M           ,48098.16
M           ,50379.84
F         ,58187.64
F         ,60642.96
M           ,56987.4
F         ,73814.4
F         ,48465
F         ,50379.84
F         ,55129.92
F         ,33501.72
F         ,41714.76
F         ,48098.16
F         ,27955.2
F         ,63610.44
M           ,63118.2
F         ,61234.32
F         ,45799.8
F         ,52897.68
F         ,62260.56
M           ,53715.6
F         ,45799.8
F         ,55129.92
F         ,48488.88
F         ,55129.92
F         ,56987.4
F         ,61484.76
F         ,50379.84
F         ,54588.72
F         ,58187.4
M           ,56987.4
F         ,50379.84
F         ,29100.6
F         ,62008.44
F         ,30659.64
F         ,64397.52
M           ,60950.04
F         ,55129.92
F         ,53365.68
M           ,71454.6
F         ,65533.92
F         ,69999.96
F         ,24375.48
F         ,52897.68
F         ,58187.4
F         ,55417.8
F         ,25532.76
F         ,50691.84
F         ,25532.76
F         ,58187.4
F         ,55417.8
F         ,27840
F         ,61725.36
F         ,58187.4
F         ,45799.8
F         ,45799.8
F         ,45799.8
M           ,55417.8
M           ,59507.64
M           ,31032.72
F         ,55129.92
F         ,48098.16
F         ,64533
F         ,45799.8
M           ,56987.4
M           ,45799.8
F         ,50379.84
F         ,56987.4
F         ,56987.4
F         ,42243.96
F         ,59802.48
F         ,39226.68
M           ,50379.84
F         ,24375.48
F         ,60642.96
F         ,50379.84
F         ,54097.68
F         ,52897.68
M           ,52150.56
M           ,62633.28
F         ,62460
F         ,55417.8
F         ,61856.4
F         ,48098.16
F         ,50379.84
F         ,55129.92
F         ,55200
M           ,62723.64
M           ,75000
F         ,54837.36
F         ,58989
F         ,33267.72
F         ,76461.12
F         ,25594.2
F         ,62260.44
F         ,54158.88
F         ,29942.64
M           ,40217.04
F         ,60642.96
F         ,55129.92
F         ,27385.8
F         ,36975.96
F         ,45799.8
F         ,55417.8
F         ,55129.92
F         ,45799.8
F         ,56580
F         ,50379.84
F         ,59381.76
M           ,60613.92
M           ,41976
F         ,42243.96
F         ,55417.8
F         ,34858.92
F         ,33518.04
F         ,70511.16
F         ,60642.96
F         ,52817.64
F         ,52568.64
F         ,54346.8
M           ,56987.4
F         ,55129.92
F         ,74040
F         ,53387.04
F         ,45799.8
F         ,47402.76
F         ,31857.96
F         ,60642.96
F         ,59381.88
F         ,39520.92
F         ,64602.24
F         ,27499.92
F         ,48488.88
F         ,45799.8
F         ,48098.16
F         ,33800.4
F         ,54346.68
F         ,24375.48
F         ,25532.76
F         ,58054.92
F         ,48098.16
F         ,50379.84
F         ,30174.96
F         ,59559
M           ,50379.84
F         ,27855.24
F         ,27803.28
F         ,33012.84
F         ,45799.8
M           ,54346.8
F         ,54097.68
F         ,50379.84
F         ,47738.04
F         ,50379.84
M           ,71034.96
F         ,45799.8
F         ,78000
F         ,50379.84
F         ,58187.4
F         ,26638.08
F         ,24375.48
F         ,26804.64
F         ,55417.8
F         ,24375.48
F         ,45799.8
M           ,59297.04
F         ,69793.08
M           ,59391.72
M           ,52044.96
F         ,69999.96
F         ,26331.96
M           ,62486.88
F         ,58211.88
F         ,61932.6
F         ,52508.88
F         ,71503.32
F         ,25532.76
F         ,46073.4
F         ,50379.84
F         ,56526
F         ,52571.28
F         ,30910.92
F         ,55129.92
F         ,45799.8
F         ,45799.8
F         ,59622.12
F         ,55129.92
F         ,45799.8
F         ,45797.76
M           ,53615.88
F         ,65203.32
M           ,98059.56
M           ,62486.88
F         ,74069.88
M           ,37900.32
F         ,55129.92
F         ,50379.84
F         ,27145.08
F         ,45799.8
M           ,45799.8
F         ,46387.92
F         ,55129.92
F         ,41976
F         ,26081.76
F         ,55175.52
F         ,62486.88
F         ,56987.4
F         ,48830.88
F         ,49762.68
F         ,46257
F         ,57639.48
F         ,72284.88
M           ,63849.84
F         ,45799.8
F         ,45799.8
M           ,43988.64
M           ,56987.4
F         ,58989
F         ,55129.92
F         ,60642.96
F         ,49433.28
F         ,50379.84
F         ,55597.32
F         ,61059
F         ,48228.6
M           ,50379.84
F         ,46173.6
F         ,57249.48
F         ,44071.08
F         ,58989
M           ,59381.76
F         ,55129.92
F         ,45799.8
F         ,58989
F         ,45799.8
F         ,60642.96
F         ,66010.2
M           ,55129.92
M           ,28226.76
F         ,25532.64
F         ,56987.28
F         ,26747.76
M           ,50379.84
M           ,56987.4
F         ,34843.44
F         ,58398.96
F         ,47988.12
F         ,55129.92
F         ,48098.16
F         ,45799.8
M           ,57249.48
F         ,39063.84
F         ,55417.8
M           ,62486.88
F         ,45799.8
M           ,38400
F         ,55678.8
F         ,58398.96
F         ,48097.92
F         ,35490.36
F         ,69999.96
F         ,59269.2
F         ,68680.8
F         ,58398.96
F         ,69999.96
F         ,48098.16
F         ,45799.8
F         ,32559
F         ,45799.8
